dataset_name,eeg_class,tasks,Detailled task,Task Structure,Stimulation,Task,Timing,Population Age,Population Health,Study Type,Output,n_subjects,Description,Url,n_sessions_per_subject,n_recordings,n_classes,class_labels,manufacturer,device_model,electrode_type,cited_paper_year,citation_count
Lee2019_MI,MI,left vs right hand ,,SingleTask,Visual,Motor Imagery,Active;Asynchronous,Adult,Healthy,BCI,,108,,,1,108,2,left_hand | right_hand,Brain Products,BrainAmp,wet,2019,542
Lee2019_SSVEP,SSVEP,5.45; 6.67; 8.57; and 12 Hz,,SingleTask,Visual,PerceptionVisual;Attention,Reactive;Synchronous,Adult,Healthy,BCI,,108,,,1,108,4,12.0 | 5.45 | 6.67 | 8.57,Brain Products,BrainAmp,wet,2019,542
Liu2024,Motor,left vs right hand ,,SingleTask,Visual,Motor Imagery,Active;Asynchronous,Adult,Unhealthy;Stroke,BCI,,50,Stroke participant,https://moabb.neurotechx.com/docs/generated/moabb.datasets.Liu2024.html,1,50,2,left_hand | right_hand,ZhenTec,NT1,sponge ,2024,59
NMT,Clinical,Normal vs abnormal,,No,No,No task,,Adult;Child,Healthy;Unhealthy,Clinical,,1623,,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2021.755817/full#s1,1,2413,2,normal | pathological,?,?,?,2022,38
ON_ds001787,Meditation,mind wandering and meditation,Subjects were meditating and were interupted about every 2 minutes to indicate their level of concentration and mind wandering,MultiTask,No,Meditation,Passive;Asynchronous,Adult,Healthy,Neuro modulation,,24,,https://openneuro.org/datasets/ds001787/versions/1.1.1/file-display/dataset_description.json,1.7,40,1,meditation,BioSemi,ActiveTwo,wet,2021,4
ON_ds002680,GoNoGo,"Go no GO,decision task","animal categorization task, participants had to respond whenever there was an animal in the picture. In the recognition task, the session started with a learning phase",MultiTask,Visual,ReactionTime;PerceptionVisual;Attention;DecisionMaking,Reactive;Synchronous,Adult,Healthy,Cognitive,Press Buttin,14,,https://openneuro.org/datasets/ds002680/versions/1.2.0,2.0,350,1,gonogo,Neuroscan ,Synamps 1 (model 5083),wet,,0
ON_ds002721,Emotion,music listening to induce emotion,"For this purpose 31 healthy adult participants listened to 40 music clips of 12 s duration each, targeting a range of emotional states. T",SingleTask,Auditory;No,Emotion;Resting State,Synchronous;Passive,Adult,Healthy,Cognitive,,31,,https://openneuro.org/datasets/ds002721/versions/1.0.3,1,185,6,run1 | run2 | run3 | run4 | run5 | run6,Brain Products,BrainAmp DC,wet,,0
ON_ds002778,Resting State ,resting state for parkinson participant ,Resting State ,SingleTask,No,Resting State,Passive,Adult;Elderly,Healthy;Unhealthy;Parkinson,Clinical,,31,,https://openneuro.org/datasets/ds002778/versions/1.0.5,1.5,46,1,rest,BioSemi,,wet,,0
ON_ds003004,Emotion,ImaginedEmotion,participants listen to 15 voice recordings that each suggest imagining a scenario in which they have experienced -- or would experience the named target emotion.,SingleTask,Auditory,Emotion,Asynchronous;Active,Adult,Healthy,Cognitive,,7,,https://openneuro.org/datasets/ds003004/versions/1.1.1,1,7,1,ImaginedEmotion,BioSemi,,wet,,0
ON_ds003690,GoNoGo,reaction time and Go no Go, young (N = 36) and a group of older (N = 39) adults were engaged in auditory cued reaction time tasks (active tasks) or passively listening to the auditory stimulus used as temporal cue,MultiTask,Auditory,PerceptionAuditory;DecisionMaking;ReactionTime,Synchronous;Reactive;Passive,Adult;Elderly,Healthy,Cognitive;Biomettry,Press Button,75,,https://openneuro.org/datasets/ds003690/versions/1.0.0,1,375,3,gonogo | passive | simpleRT, Neuroscan Compumedics.,Quik-Cap,wet,,0
ON_ds003775,Resting State ,Resting State ,four minutes of uninterrupted EEG acquired while the subjects were resting with their eyes closed,SingleTask,No,Resting State,Passive,Adult;Elderly,Healthy,Biometry,,111,,https://openneuro.org/datasets/ds003775/versions/1.2.1,1.4,153,1,resteyesc,BioSemi,,wet,,0
ON_ds003825,Image decoding ,Things,RSVP with image from THINGS,SingleTask,Visual,PerceptionVisual;Attention,Synchronous;Reactive,Adult,Healthy,Cognitive,,50,,https://openneuro.org/datasets/ds003825/versions/1.2.0,1,50,1,rsvp,Brain Products,ActiCHamp,wet,,0
ON_ds003846,ERN ,Prediction Error Negativity,"participants touched virtual objects in three conditions and received either no haptic feedback, vibration, or vibration and EMS feedback. To provoke a brain response in unrealistic VR interaction, we also presented the feedback prematurely in 25% of the trials.",SingleTask,Visual;Haptic,Motor Execution;PerceptionHaptic;PerceptionVisual ,Asynchronous;Active;Reactive,Adult,Healthy,BCI;Cognitive,Touch Virtual Object,19,,https://openneuro.org/datasets/ds003846/versions/2.0.2,2.6,50,1,PredictionError,Brain Products,BrainAmp DC,wet,,0
ON_ds003885,?,movement/alive/natural capacity ,"participants classified single images that appeared on the screen as ""alive"" or ""not alive AND (RSVP) streams of images",SingleTask,Visual,PerceptionVisual;DecisionMaking,Synchronous;Reactive;,Adult,Healthy,Cognitive,,24,,https://openneuro.org/datasets/ds003885/versions/1.0.8,1,24,1,movement,Brain Products,ActiCHamp,wet,,0
ON_ds003887,?,movement/alive/natural capacity ,"participants classified single images that appeared on the screen as ""alive"" or ""not alive AND (RSVP) streams of images , press button when see the cross change color",SingleTask,Visual,PerceptionVisual;DecisionMaking,Synchronous;Reactive;,Adult,Healthy,Cognitive,,24,,https://openneuro.org/datasets/ds003887/versions/1.2.3,1,24,1,movement,Brain Products,ActiCHamp,wet,,0
ON_ds003969,Meditation,meditation vs thinking ,2 meditation blocks interspaced by two thining blocks,MultiTask,No,Emotion;Memory,Asynchronous;Active,Adult;Elderly,Healthy,Cognitive,,98,,https://openneuro.org/datasets/ds003969/versions/1.0.0,1,392,4,med1breath | med2 | think1 | think2,BioSemi,ActiveTwo,wet,,0
ON_ds004043,?,feature-based attention,Participants viewed rapid sequences of overlaid oriented grating pairs at fixation while detecting a “target” grating of a particular orientation.,SingleTask,Visual,Attention;ReactionTime,Synchronous;Reactive,Adult,Healthy,Cognitive,,20,,https://openneuro.org/datasets/ds004043/versions/1.1.0,1,20,1,tempex,Brain Products,ActiCHamp,wet,,0
ON_ds004147,Reward ERP,casinos reward erp ,,SingleTask,Visual;Auditory,DecisionMaking;,Synchronous;Active,Adult;Elderly,Healthy,Economics;Cognitive,,12,,https://openneuro.org/datasets/ds004147/versions/1.0.2,1,12,1,casinos,Brain Products,actiCHamp Plus,wet,,0
ON_ds004148,Cognitive state,Resting State| mathematic | memory | music,"retrieval of recent episodic memories, serial subtractions, and (silent) singing of music lyrics",MultiTask,Visual;No,Resting State;Memory;Language,Asynchronous;Active;Passive,Adult,Healthy,Cognitive,,60,https://pmc.ncbi.nlm.nih.gov/articles/PMC9470564/,https://openneuro.org/datasets/ds004148/versions/1.0.1,3.0,900,5,eyesclosed | eyesopen | mathematic | memory | music,BioSemi,,wet,,0
ON_ds004152,?,learning drum pattern ,learn tempo drum ,SingleTask,Visual;Auditory,Memory;ReactionTime,Synchronous;Active,Adult,Healthy,Cognitive,,21,,https://openneuro.org/datasets/ds004152/versions/1.1.2,1,21,1,drumtrainer,Brain Products,actiCHamp Plus,wet,,0
ON_ds004262,?,gnomes,o bet on the strength of each gnome,SingleTask,Visual,DecisionMaking;ReactionTime,Synchronous;Reactive,Adult,Healthy,Cognitive,,21,https://pmc.ncbi.nlm.nih.gov/articles/PMC10851313/#psyp14399-sec-0012,https://openneuro.org/datasets/ds004262/versions/1.0.0,1,21,1,gnomes,Brain Products,actiCHamp Plus,wet,,0
ON_ds004264,?,steertheship,"ing the round, participants pressed the 'f' and 'j' keys to apply angular force in either a clockwise or counterclockwise direction. The goal of the task was to keep the ship closely oriented towards a target. Points were accumulated depending on the mean distance to target. The ship would crash if it strayed too far from the target (and the round would end). Each round lasted up to 1 minute. The underlying physics were based on the pole-and-cart problem",SingleTask,Visual,DecisionMaking;Motor Execution,Synchronous;Reactive,Adult,Healthy,Cognitive,Press key,21,https://pmc.ncbi.nlm.nih.gov/articles/PMC10851313/#psyp14399-sec-0002,https://openneuro.org/datasets/ds004264/versions/1.1.0,1,21,1,steertheship,Brain Products,actiCHamp Plus,wet,,0
ON_ds004279,Speech perceiption, silent and perceive speech on 30 Spanish sentence,The participants were instructed to listen to a spoken sentence from an audio recording and then silently repeat the sentence without any motor action.,MultiTask,Auditory,Language;PerceptionAuditory,Synchronous;Active,Adult,Healthy,Cognitive,,56,,https://openneuro.org/datasets/ds004279/versions/1.1.2,1.1,60,1,sentences,?,,?,,0
ON_ds004284,?,kickstarter choice,they would be making funding decisions regarding a number of projects that had been posted on a crowdfunding website,SingleTask,Visual,DecisionMaking,Reactive;Synchronous,Adult,Healthy,Cognitive;Economics,Press key,18,https://www.nature.com/articles/s41598-023-41613-4#Sec2,https://openneuro.org/datasets/ds004284/versions/1.0.0,1,18,1,kickstarter,EGI,,sponge ,,0
ON_ds004315,Reward ERP,Reinforcement learning task with mood manipulation ,"Here, we examined if a sad mood induction offered an opportunity to causally induce a mood-related alteration of the RewP and reward-related learning. In",SingleTask,Visual,DecisionMaking,Reactive;Synchronous,Adult,Healthy,Cognitive,,50,https://pubmed.ncbi.nlm.nih.gov/36807324/,https://openneuro.org/datasets/ds004315/versions/1.0.0,1,50,1,PST,Brain Products,ActiChamp,wet,,0
ON_ds004324,affect ERP,RSVP human face emotion,artificially enhanced human faces RSVP,SingleTask,Visual,PerceptionVisual;Emotion,Reactive;Synchronous,Adult,Healthy,Cognitive,,26,https://pmc.ncbi.nlm.nih.gov/articles/PMC10174306/,https://openneuro.org/datasets/ds004324/versions/1.0.0,1.0,26,1,RSVP,EGI,,sponge ,,0
ON_ds004356,Audio listening ,MusicvsSpeech listening ,continuous music and speech stimuli listening ,SingleTask,Auditory,PerceptionAuditory;Language,Passive;Synchronous,Adult,Healthy,Cognitive,,22,,https://openneuro.org/datasets/ds004356/versions/2.2.1,1,24,1,MusicvsSpeech,Brain Products,ActiChamp,wet,,0
ON_ds004357,RSVP,rsvp pour voir encodage viseul,"RSVP 256 oriented gratings that varied across four feature dimensions: colour, spatial",SingleTask,Visual,PerceptionVisual,Synchronous;Reactive,Adult,Healthy,Cognitive,press Button,16,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1011760#sec014,https://openneuro.org/datasets/ds004357/versions/1.0.1,1,16,1,rsvp,Brain Products,ActiChamp,wet,,0
ON_ds004395,?,memory encodage ,PEERS - memory task,MultiTask,Visual,Memory;DecisionMaking;PerceptionVisual ,Synchronous;Active,Adult;Elderly,Healthy,Cognitive,,363,https://osf.io/preprints/psyarxiv/bu5x8_v1,https://openneuro.org/datasets/ds004395/versions/2.0.0,11.8,4748,3,VFFR | ltpFR | ltpFR2,EGI,,sponge,,0
ON_ds004408,Speech decoding,listening book,,SingleTask,Auditory,PerceptionAuditory;Language,Passive;Synchronous,Adult,Healthy,Cognitive,,19,,https://openneuro.org/datasets/ds004408/versions/1.0.8,1,380,1,listening,Brain Products,,wet,,0
ON_ds004477,Brain synchronization ,Emergency games synchronization ,Brain synchronisation during playing a game ,SingleTask,Visual,DecisionMaking,Asynchronous;Active,Adult,Healthy,Economics;Social Interaction,button;mouse,9,,https://openneuro.org/datasets/ds004477/versions/1.0.2,1,9,1,PES,BioSemi,,wet,,0
ON_ds004561,?,Stimulation EMS ; agency ,Did you press button or EMS did it ? ,SingleTask,Electrics;Visual,Motor Execution;PerceptionElectric,Synchronous ; Reactive,Adult,Healthy,Cognitive,press Button,23,https://pmc.ncbi.nlm.nih.gov/articles/PMC10648515/#sec2,https://openneuro.org/datasets/ds004561/versions/1.0.0,1,23,1,agencyRT,Brain Products,,wet,,0
ON_ds004572,Hypnose,Hypnose ,participants were exposed to either conventional or unconventional (placebo) hypnotic inductions described either as hypnosis or as simple relaxation technique in a 2 x 2 balanced placebo design.,SingleTask,Auditory,Resting State;Relaxation,Passive,Adult,Healthy,Cognitive;Hypnosis,,52,,https://openneuro.org/datasets/ds004572/versions/1.3.2,1.0,516,10,baseline1 | baseline2 | experience1 | experience2 | experience3 | experience4 | induction1 | induction2 | induction3 | induction4,Elekta,,wet,,0
ON_ds004582,?,Fake or true face,", participants were instructed to indicate whether they thought the target was real or fake",SingleTask,Visual,PerceptionVisual;Emotion,Synchronous;Reactive,Adult,Healthy,Cognitive,press key,73,,https://openneuro.org/datasets/ds004582/versions/1.0.0,1.0,73,1,FF,Brain Products,,wet,,0
ON_ds004603,?, wherein the onset of a bound stimulus violated ,"Subjects completed a novel, Visual contextual trajectory paradigm (CTP) wherein the onset of a bound stimulus violated an established trajectory in terms of its brightness, size, or orientation.",SingleTask,Visual,PerceptionVisual;Reaction Time,Synchronous;Passive,Adult,Healthy,Cognitive,press key,37,https://www.sciencedirect.com/science/article/pii/S0010945223002022?via%3Dihub,https://openneuro.org/datasets/ds004603/versions/1.1.0,1,37,1,CTP,Brain Products,,wet,,0
ON_ds004706,?,memory encodage ,Courier hybrid spatial-episodic memory task,MultiTask,Visual,Memory;PerceptionVisual,Synchronous;Active,Adult,Healthy,Cognitive,Controler,34,https://www.biorxiv.org/content/10.1101/2022.11.30.518606v4.full#sec-2,https://openneuro.org/datasets/ds004706/versions/1.0.0,6.0,297,2,NiclsCourierClosedLoop | NiclsCourierReadOnly,BioSemi,,wet,,0
ON_ds004816,rsvp,rsvp,,SingleTask,Visual,Attention;PerceptionVisual,Synchronous;Reactive,Adult,Healthy,Cognitive,press key,20,https://arxiv.org/pdf/2010.09932,https://openneuro.org/datasets/ds004816/versions/1.0.1,1,20,1,rsvp,Brain Products,ActiChamp,wet,,0
ON_ds004817,rsvp,rsvp,,SingleTask,Visual,Attention;PerceptionVisual,Synchronous;Reactive,Adult,Healthy,Cognitive,press key,20,https://arxiv.org/pdf/2010.09932,https://openneuro.org/datasets/ds004817/versions/1.0.1,1,20,1,rsvp,Brain Products,ActiChamp,wet,,0
ON_ds004840,?,music therapy fot burn patients,music therapy relaxation listenning ,SingleTask,Auditory,Relaxation,Passive,Adult,Unhealthy;Burnt,Clinical,,9,https://www.nature.com/articles/s41598-024-73211-3#Sec2,https://openneuro.org/datasets/ds004840/versions/1.0.1#1-experimental-design,1.9,51,3,musicTherapy | postMusicTherapy | preMusicTherapy,Natus,Micromed LTM64,wet,,0
ON_ds004902,Resting State,Resting State sleep deprivation,"esting-state EEG data (eyes open,partially eyes closed) from 71 participants who underwent two experiments involving normal sleep (NS---session1) and sleep deprivation(SD---session2)",SingleTask,No,Resting State,Passive,Adult,Healthy,Monitoring,,71,,https://openneuro.org/datasets/ds004902/versions/1.0.8,2.0,212,2,eyesclosed | eyesopen,Brain Products,,wet,,0
ON_ds004951,BrailleDecoding,Reading of Braille,,SingleTask,Haptic,PerceptionHaptic;Language,Synchronous;Active,Adult,Unhealthy;Blind,Cognitive,,11,https://elifesciences.org/articles/98148#s4,https://openneuro.org/datasets/ds004951/versions/1.0.0,1.7,23,1,letters,Brain Products,,wet,,0
ON_ds005089,?,sex/gender judgment task,The main task was a cue-target paradigm where participants judged the sex of target faces and words,MultiTask,Visual,Attention;PerceptionVisual;DecisionMaking,Synchronous ;Reactive,Adult,Healthy,Cognitive,press key,33,https://www.sciencedirect.com/science/article/pii/S001094522400114X?via%3Dihub,https://openneuro.org/datasets/ds005089/versions/1.0.1,1,33,1,competition,Brain Products,actiClap,wet,,0
ON_ds005095,memory,STERNBERG task,Memory task : russian letter ,SingleTask,Visual,Memory;ReactionTime,Synchronous;Reactive,Adult,Healthy,Cognitive,press key,48,,https://openneuro.org/datasets/ds005095/versions/1.0.2,1.0,48,1,STERNBERG,Brain Products,,wet,,0
ON_ds005121,Sleep,Sleep,Nap with Targeted Memory Reactivation with Memory task Pre/Post,SingleTask,Auditory;,Memory;Sleep,Synchronous;Passive,Adult,Healthy,Cognitive,,34,https://www.jneurosci.org/content/44/24/e0022242024,https://openneuro.org/datasets/ds005121/versions/1.0.2,1,39,1,Siefert2024,Brain Products,ActiChamp,wet,,0
ON_ds005189,memory,memory Visual search,participants searched for objects in some scenes and intentionally memorized others,MultiTask,Visual,Memory;attention,Synchronous;Reactive,Adult,Healthy,Cognitive,press key,30,https://direct.mit.edu/jocn/article/37/12/2538/131891/Incidental-Encoding-of-Objects-during-Search-Is,https://openneuro.org/datasets/ds005189/versions/1.0.1,1,30,1,SearchSupRecFam,Brain Products,actiCHamp,wet,,0
ON_ds005262,Inner speech,arabic inner speech,Inner Speech ,SingleTask,Visual;Auditory,Language,Synchronous;Active,Adult,Healthy,Cognitive,press key,12,https://www.nature.com/articles/s41597-025-05387-w,https://openneuro.org/datasets/ds005262/versions/1.0.1,15.5,186,1,innerspeech,g.tec,Unicorn Hybrid,dry,,0
ON_ds005273,Perceptual task,perceptual task with with nearthreshold Gabor stimuli,Sequence of seen/unseen stimuli ,SingleTask,Visual,PerceptionVisual;DecisionMaking,Synchronous;Reactive,Adult,Healthy,Cognitive,press key,30,https://www.researchgate.net/publication/389624365_Neural_representation_of_consciously_seen_and_unseen_information,https://openneuro.org/datasets/ds005273/versions/1.0.0,1,30,1,1,Brain Products,,wet,,0
ON_ds005505,?,MultiTask ( Resting state - Surround Suppression - Movie Watching -Contrast Change Detection - Sequence Learning - Symbol Search),,MultiTask,Visual;No,Resting State;PerceptionVisual;Attention;DecisionMaking;Memory;Motor Execution,Synchronous;Asynchronous;Passive;Reactive;Active,Adult;Child,Healthy,Cognitive,,136,,https://openneuro.org/datasets/ds005505/versions/1.0.1,1,1342,10,DespicableMe | DiaryOfAWimpyKid | FunwithFractals | RestingState | ThePresent | contrastChangeDetection | seqLearning6target | seqLearning8target | surroundSupp | symbolSearch,EGI,Magstim,sponge ,2017,415
ON_ds005506,?,MultiTask ( Resting state - Surround Suppression - Movie Watching -Contrast Change Detection - Sequence Learning - Symbol Search),,MultiTask,Visual;No,Resting State;PerceptionVisual;Attention;DecisionMaking;Memory;Motor Execution,Synchronous;Asynchronous;Passive;Reactive;Active,Adult;Child,Healthy,Cognitive,,150,,,1,1404,10,DespicableMe | DiaryOfAWimpyKid | FunwithFractals | RestingState | ThePresent | contrastChangeDetection | seqLearning6target | seqLearning8target | surroundSupp | symbolSearch,EGI,Magstim,sponge ,2017,415
ON_ds005507,?,MultiTask ( Resting state - Surround Suppression - Movie Watching -Contrast Change Detection - Sequence Learning - Symbol Search),,MultiTask,Visual;No,Resting State;PerceptionVisual;Attention;DecisionMaking;Memory;Motor Execution,Synchronous;Asynchronous;Passive;Reactive;Active,Adult;Child,Healthy,Cognitive,,184,,,1,1812,10,DespicableMe | DiaryOfAWimpyKid | FunwithFractals | RestingState | ThePresent | contrastChangeDetection | seqLearning6target | seqLearning8target | surroundSupp | symbolSearch,EGI,Magstim,sponge ,2017,415
ON_ds005508,?,MultiTask ( Resting state - Surround Suppression - Movie Watching -Contrast Change Detection - Sequence Learning - Symbol Search),,MultiTask,Visual;No,Resting State;PerceptionVisual;Attention;DecisionMaking;Memory;Motor Execution,Synchronous;Asynchronous;Passive;Reactive;Active,Adult;Child,Healthy,Cognitive,,324,,,1,3342,10,DespicableMe | DiaryOfAWimpyKid | FunwithFractals | RestingState | ThePresent | contrastChangeDetection | seqLearning6target | seqLearning8target | surroundSupp | symbolSearch,EGI,Magstim,sponge ,2017,415
ON_ds005509,?,MultiTask ( Resting state - Surround Suppression - Movie Watching -Contrast Change Detection - Sequence Learning - Symbol Search),,MultiTask,Visual;No,Resting State;PerceptionVisual;Attention;DecisionMaking;Memory;Motor Execution,Synchronous;Asynchronous;Passive;Reactive;Active,Adult;Child,Healthy,Cognitive,,330,,,1,3324,10,DespicableMe | DiaryOfAWimpyKid | FunwithFractals | RestingState | ThePresent | contrastChangeDetection | seqLearning6target | seqLearning8target | surroundSupp | symbolSearch,EGI,Magstim,sponge ,2017,415
ON_ds005510,?,MultiTask ( Resting state - Surround Suppression - Movie Watching -Contrast Change Detection - Sequence Learning - Symbol Search),,MultiTask,Visual;No,Resting State;PerceptionVisual;Attention;DecisionMaking;Memory;Motor Execution,Synchronous;Asynchronous;Passive;Reactive;Active,Adult;Child,Healthy,Cognitive,,135,,,1,1227,10,DespicableMe | DiaryOfAWimpyKid | FunwithFractals | RestingState | ThePresent | contrastChangeDetection | seqLearning6target | seqLearning8target | surroundSupp | symbolSearch,EGI,Magstim,sponge ,2017,415
ON_ds005511,?,MultiTask ( Resting state - Surround Suppression - Movie Watching -Contrast Change Detection - Sequence Learning - Symbol Search),,MultiTask,Visual;No,Resting State;PerceptionVisual;Attention;DecisionMaking;Memory;Motor Execution,Synchronous;Asynchronous;Passive;Reactive;Active,Adult;Child,Healthy,Cognitive,,379,,,1,3088,10,DespicableMe | DiaryOfAWimpyKid | FunwithFractals | RestingState | ThePresent | contrastChangeDetection | seqLearning6target | seqLearning8target | surroundSupp | symbolSearch,EGI,Magstim,sponge ,2017,415
